indexA,addressA,indexB,addressB,score
20002,"Kip in the Kirk, 11 Stirling Road Drymen, G630BW",2111,"The Drymen Inn, 5, Stirling Road, Drymen, , United Kingdom, G630BN",0.5685
20002,"Kip in the Kirk, 11 Stirling Road Drymen, G630BW",2161,"Elmbank Self Catering B&B, 10, Stirling Road, Drymen, , United Kingdom, G630BN",0.555
20026,"Highland Spirit Bed & Breakfast, 51 Fife Street Dufftown, Moray, AB554AP",2152,"Tannochbrae, 22, Fife Street, Dufftown, , United Kingdom, Moray, AB554AL",0.5
20099,"Glenlossie Guest House, 75 Annan Road Dumfries, Dumfries and Galloway, DG13EG",10918,"Caledonian Hotel, 67, Annan Road",0.5
20117,"The Bothy Dumfries, The Bothy Southerness, Dumfries and Galloway, DG28AZ",931,"Paul Jones Hotel, C22n, , United Kingdom, Dumfries and Galloway, DG28BB",0.5
20122,"Spindrift Dumfries, Spindrift Southerness, Dumfries and Galloway, DG28AZ",931,"Paul Jones Hotel, C22n, , United Kingdom, Dumfries and Galloway, DG28BB",0.5
20164,"Alcorn Guest House, 5 Hyndford Street DundeeDundee City, DD21HQ",10002,"Shaftesbury Lodge, Hyndford Street, Dundee, Dundee City, DD21HQ",0.5
20333,"The Esplanade Hotel, West Bay Dunoon Dunoon, Argyll and Bute, PA237HU",3302,"St Ives Boutique Hotel, 58 Victoria Parade, 58, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0.5875
20334,"The St Ives, West Bay DunoonArgyll, Argyll and Bute, PA237HU",3303,"Milton Tower Hotel, 62, Victoria Parade, Dunoon, , GB, Argyll and Bute, PA237HU",0.5
20388,"Duns Apartment Rooms, 10 Market Square Duns Scotland, TD113ED",1435,"White Swan, 31-34, Market Square, Duns, , United Kingdom, Scottish Borders, TD113AL",0.5346
20417,"The Luttrell Arms, 32, High Street Dunster SomersetExmoor National Park, South West, TA246SG",1757,"The Dunster Castle Hotel, 5, High Street, Minehead, Somerset, , GB, South West, TA246SF",0.5
20419,"Yarn Market Hotel, 25 33 High Street Dunster DunsterExmoor, Somerset, South West, TA246SF",1757,"The Dunster Castle Hotel, 5, High Street, Minehead, Somerset, , GB, South West, TA246SF",0.5558
20440,"The Tables Guest House, Main Street Dunvegan Dunvegan Isle Of SkyeHighlands And Islands, IV558WA",1029,"Dunvegan Hotel, A863, Dunvegan, , United Kingdom, Highland, IV558WA",0.5
20465,"Brunswick House Guest house, 55 Market Place Middleton in Teesdale Middleton-in-TeesdaleBarnard CastleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
20506,"Days Inn Durham, Roadchef Motorway Service Area A1M Motorway A1M MotorwayDurham, County Durham, North East, DH65NP",4320,"Super 8, Tursdale Road, Durham, County Durham, North East, DH65NP",0.5783
20509,"Jersey Farm Hotel, Darlington Rd Barnard CastleCounty Durham, North East, DL128TA",1588,"Runa Farm, Darlington Road, Barnard Castle, , United Kingdom, County Durham, North East, DL128TA",0.5938
20604,"Belvedere House B&B, 54 Market Place Middleton in Teesdale Middleton-In-TeesdaleCounty Durham, North East, DL120QH",3362,"The Forresters, 52-53, Market Place, Barnard Castle, , United Kingdom, County Durham, North East, DL120QH",0.5828
20611,"Sea View Guest House, 11 The Green Seaton CarewHartlepool, North East, TS251AS",430,"The Norton Hotel, Seaton Green, Seaton Carew, , United Kingdom, Hartlepool, North East, TS251AS",0.5516
20756,"The Gray at 52 Old Elvet, 52 Old Elvet, County Durham, North East, DH13HN",9725,"The Town House, 34, Old Elvet, Durham, County Durham, North East, DH13HN",0.5256
20785,"Blackgill Lodge, 2 Blackgill Cottageeasington, Redcar and Cleveland, North East, TS134UE",1374,"Grinkle Park Hotel, Ridge Lane, Roxby, , United Kingdom, Redcar and Cleveland, North East, TS134UE",0.5618
20794,"Gothic House, 55 High Street East Grinstead, Mid Sussex, South East, RH193DD",1740,"The Crown, 35, High Street, East Grinstead, West Sussex, , GB, Mid Sussex, South East, RH193AF",0.5162
20794,"Gothic House, 55 High Street East Grinstead, Mid Sussex, South East, RH193DD",9740,"The Dorset Arms, 58, High Street, East Grinstead, Mid Sussex, South East, RH193DE",0.5934
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",10733,"The Royal, 8-9, Marine Parade, Eastbourne, South East, BN213DX",0.5043
20825,"Eastbourne Riviera Hotel, 26 Marine Parade Eastbourne, South East, BN227AY",10734,"OYO Marine Parade Hotel, 13-14, Marine Parade, Eastbourne, South East, BN213DX",0.5423
20828,"Southcroft Guest House, 15 South Cliff Avenue Eastbourne, South East, BN207AH",10732,"The Halcyon, 8, South Cliff, Eastbourne, South East, BN207AF",0.5239
20832,"Sea View Guest House, 57 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5436
20832,"Sea View Guest House, 57 Royal Parade Eastbourne, South East, BN227AQ",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5
20833,"Ebor Lodge, 71 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",8999,"The View Hotel, Grand Parade, Eastbourne, South East, BN214DN",0.5385
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9002,"Mansion (Lions) Hotel, 32-35, Grand Parade, Eastbourne, BN213YS",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9003,"The Cumberland Hotel, 34-36, Grand Parade, Eastbourne, South East, BN213YT",0.5
20844,"Albany Lions Hotel, Grand Parade Eastbourne, BN214DJ",9004,"The Cavendish Hotel, 37-40, Grand Parade, Eastbourne, South East, BN214DH",0.5668
20857,"Shore View Hotel, Marine Parade Eastbourne, South East, BN227AY",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5348
20857,"Shore View Hotel, Marine Parade Eastbourne, South East, BN227AY",10733,"The Royal, 8-9, Marine Parade, Eastbourne, South East, BN213DX",0.5947
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",8748,"Queens Hotel, Marine Parade, Eastbourne, South East, BN213DY",0.5633
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",9373,"Eastbourne Riveira, 26, Marine Parade, Eastbourne, South East, BN227AY",0.5395
20869,"Marine Parade Hotel, 13-14 Marine Parade Eastbourne East Sussex, South East, BN213DX",10431,"Shore View Hotel Eastbourne, 20, Marine Parade, Eastbourne, South East, BN227AY",0.5939
20871,"The New England, 60 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5
20875,"Sea Beach House, 39-40 Marine Parade EastbourneEast Sussex, South East, BN227AY",10431,"Shore View Hotel Eastbourne, 20, Marine Parade, Eastbourne, South East, BN227AY",0.5902
20876,"The Devonshire Park Hotel, Carisle Road Eastbourne, South East, BN214JR",3219,"Ritz Apartments And Hotel, Carlisle Road, Eastbourne, , United Kingdom, South East, BN214JX",0.5856
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",9374,"Glastonbury Hotel, Royal Parade, Eastbourne, South East, BN227AR",0.5
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5136
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10429,"Best Western York House Hotel, 14-22, Royal Parade, Eastbourne, South East, BN227AP",0.5534
20891,"The Majestic Hotel, 26-34 Royal Parade Eastbourne, South East, BN227AN",10430,"Atlanta Hotel, 10, Royal Parade, Eastbourne, South East, BN227AR",0.5
20893,"Haddon Hall Hotel, Devonshire Place East Sussex Eastbourne, South East, BN214AJ",9306,"Imperial Hotel, Devonshire Place, Eastbourne, South East, BN214AH",0.5182
20894,"Breakers Bed & Breakfast, 56 Royal Parade Eastbourne, South East, BN227AQ",10425,"The Langham Hotel, 43-49, Royal Parade, Eastbourne, South East, BN227AH",0.5459
20894,"Breakers Bed & Breakfast, 56 Royal Parade Eastbourne, South East, BN227AQ",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5
20939,"Skylight Apartment, Flat 3 5 South Cliff Avenue, Eastbourne, South East, BN207AH",10732,"The Halcyon, 8, South Cliff, Eastbourne, South East, BN207AF",0.5039
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10427,"Bay Majestic Eastbourne Hotel, 26-34, Royal Parade, Eastbourne, South East, BN227AN",0.5363
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10428,"The East Beach Hotel, 23-25, Royal Parade, Eastbourne, South East, BN227AN",0.5
20945,"Seabreeze Apartment, 79 Royal Parade, Eastbourne, South East, BN227AL",10429,"Best Western York House Hotel, 14-22, Royal Parade, Eastbourne, South East, BN227AP",0.5
20947,"Sea Beach Cottage, 38 Marine Parade, Eastbourne, South East, BN227AY",10734,"OYO Marine Parade Hotel, 13-14, Marine Parade, Eastbourne, South East, BN213DX",0.5
20985,"Best Western Plus Hever Hotel, Hever Road Na 07 Edenbridge HeverEdenbridgeKent, Sevenoaks, South East, TN87NP",8640,"Hever Hotel, Hever Road, Sevenoaks, South East, TN87NP",0.5
21030,"Royal Mile Backpackers, 105 High Street Edinburgh, City of Edinburgh, EH11SG",126,"The Inn On The Mile, 82, High Street, Edinburgh, , United Kingdom, City of Edinburgh, EH11LL",0.558
21030,"Royal Mile Backpackers, 105 High Street Edinburgh, City of Edinburgh, EH11SG",987,"Radisson Blu Hotel, 80, High Street, Edinburgh, , United Kingdom, City of Edinburgh, EH11TH",0.5855
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",1649,"24 Royal Terrace, 24, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5174
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",1650,"voco, 18, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AQ",0.5821
21045,"Adria House, 11 Royal Terrace Edinburgh, City of Edinburgh, EH75AB",2947,"21212, 3, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5648
21049,"Averon Guest House, 44 Gilmore Place Edinburgh, City of Edinburgh, EH39NQ",2638,"Fountain Court EQ2, 1, Lower Gilmore Place, Edinburgh, , GB, City of Edinburgh, EH39QP",0.5265
21051,"Rabble, 55a Frederick Street Edinburgh, City of Edinburgh, EH21LH",1524,"Frederick House Hotel, 42, Frederick Street, Edinburgh, , United Kingdom, City of Edinburgh, EH21LN",0.5703
21057,"No.32 Hotel, 32 Coates Gardens  Edinburgh, City of Edinburgh, EH125LE",2256,"Piries Hotel, 4-8, Coates Gardens, Edinburgh, , United Kingdom, City of Edinburgh, EH125LB",0.5232
21057,"No.32 Hotel, 32 Coates Gardens  Edinburgh, City of Edinburgh, EH125LE",2265,"The Lairg, 11, Coates Gardens, Edinburgh, , United Kingdom, City of Edinburgh, EH125LG",0.5586
21081,"Leonardo Portland Edinburgh, 79 Lauriston Place  Edinburgh, City of Edinburgh, EH39HZ",748,"Premier Inn, 82, Lauriston Place, Edinburgh, , United Kingdom, City of Edinburgh, EH39DG",0.5606
21081,"Leonardo Portland Edinburgh, 79 Lauriston Place  Edinburgh, City of Edinburgh, EH39HZ",749,"Novotel, 80, Lauriston Place, Edinburgh, , GB, City of Edinburgh, EH39DG",0.5158
21083,"Old Waverley Hotel, 43 Princes Street Edinburgh, City of Edinburgh, EH22BY",1264,"Mount Royal Hotel, 53, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22DG",0.55
21083,"Old Waverley Hotel, 43 Princes Street Edinburgh, City of Edinburgh, EH22BY",1266,"Hotel Indigo, 20, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22AN",0.5
21093,"Stay Central Hotel, 139 Cowgate Edinburgh, City of Edinburgh, EH11JS",3112,"House of Gods, 233, Cowgate, Edinburgh, , United Kingdom, City of Edinburgh, EH11JQ",0.5
21119,"Cruachan Guest House, 53 Gilmore Place Edinburgh, City of Edinburgh, EH39NT",2638,"Fountain Court EQ2, 1, Lower Gilmore Place, Edinburgh, , GB, City of Edinburgh, EH39QP",0.5101
21135,"Travelodge Edinburgh Central, 33 St. Marys Street Edinburgh Scotland, City of Edinburgh, EH11TA",2089,"Premier Inn, 33, East Market Street, Edinburgh, , GB, City of Edinburgh, EH88FR",0.5
21150,"Budget Backpackers Hostel, 37-39 Cowgate Edinburgh, City of Edinburgh, EH11JR",3737,"Stay Central, 139, Cowgate, Edinburgh, , United Kingdom, City of Edinburgh, EH11JS",0.5
21158,"Novotel Edinburgh Centre, 80 Lauriston Place EdinburghScotland, City of Edinburgh, EH39DE",4806,"Leonardo Boutique Hotel Edinburgh City, 79, Lauriston Place, Edinburgh, City of Edinburgh, EH39HZ",0.533
21166,"Motel One Edinburgh Royal, 18-21 Market Street Edinburgh, City of Edinburgh, EH11BL",9131,"Market Street Hotel, 6, Market Street, Edinburgh, , GB, City of Edinburgh, EH11DE",0.5254
21177,"Apartments Royal 12b York Place, Edinburgh Schottland, nan",1647,"Ballantrae Hotel, 8-10-12, York Place, Edinburgh, , GB, City of Edinburgh, EH13EP",0.5474
21180,"Ocean Hostel, CONSTITUTION STREET, 55 EDINBURGH, City of Edinburgh, EH67BG",2861,"Rooms at GPO, 57, Constitution Street, Edinburgh, , United Kingdom, City of Edinburgh, EH67AF",0.578
21189,"Grassmarket hotel, 94-96 Grassmarket Edinburgh, City of Edinburgh, EH12JR",628,"Apex Edinburgh International, 31-33-35, Grassmarket, Edinburgh, , GB, City of Edinburgh, EH12HS",0.5
21189,"Grassmarket hotel, 94-96 Grassmarket Edinburgh, City of Edinburgh, EH12JR",629,"Apex Edinburgh City, Grassmarket, City of Edinburgh, , United Kingdom, EH12LJ",0.5585
21195,"St Christopher's Edinburgh, 9-13 Market Street Edinburgh, City of Edinburgh, EH11DE",1521,"Motel One Edinburgh-Royal, 18-21, Market Street, Edinburgh, , GB, City of Edinburgh, EH11BL",0.55
21196,"Apex Grassmarket Hotel, 31-35 Grassmarket Edinburgh, City of Edinburgh, EH12HS",1509,"The Grassmarket Hotel, 94,96, Grassmarket, Edinburgh, , GB, City of Edinburgh, EH12JR",0.5
21197,"The Balmoral Hotel, 1 Princes Street Edinburgh, City of Edinburgh, EH22EQ",1266,"Hotel Indigo, 20, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22AN",0.5769
21198,"The Bonham Hotel, 35 Drumsheugh Gardens Edinburgh, City of Edinburgh, EH37RN",5330,"The Resident, 15, Drumsheugh Gardens, Edinburgh, City of Edinburgh, EH37UG",0.5
21202,"Frederick House Hotel, 42 Frederick Street Edinburgh, City of Edinburgh, EH21EX",1512,"Rabble, 55A, Frederick Street, Edinburgh, , GB, City of Edinburgh, EH21LH",0.5771
21206,"Mercure Edinburgh City Princes Street Hotel, 53 Princes Street Edinburgh, City of Edinburgh, EH22DG",1265,"The Old Waverley Hotel, 43, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22BY",0.5512
21209,"Hotel Indigo Edinburgh, 51 59 York Place EdinburghScotland, City of Edinburgh, EH13JD",1542,"The Place, 34-36-38, York Place, Edinburgh, , United Kingdom, City of Edinburgh, EH13HU",0.5706
21209,"Hotel Indigo Edinburgh, 51 59 York Place EdinburghScotland, City of Edinburgh, EH13JD",1543,"York House Hotel, 27, York Place, Edinburgh, , United Kingdom, City of Edinburgh, EH13HU",0.5416
21209,"Hotel Indigo Edinburgh, 51 59 York Place EdinburghScotland, City of Edinburgh, EH13JD",1544,"28 York Place, 28, York Place, Edinburgh, , United Kingdom, City of Edinburgh, EH13EN",0.5271
21217,"Hotel Indigo Edinburgh Princes Street, 20 Princes Street Edinburgh, City of Edinburgh, EH22AN",1265,"The Old Waverley Hotel, 43, Princes Street, Edinburgh, , GB, City of Edinburgh, EH22BY",0.5
21217,"Hotel Indigo Edinburgh Princes Street, 20 Princes Street Edinburgh, City of Edinburgh, EH22AN",11317,"Balmoral Hotel, 1, Princes Street, Edinburgh, City of Edinburgh, EH22EQ",0.5528
21219,"Crowne Plaza Edinburgh Royal Terrace, 18-22 Royal Terrace Edinburgh, City of Edinburgh, EH75AQ",1648,"Terrace Hotel, 37, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5
21219,"Crowne Plaza Edinburgh Royal Terrace, 18-22 Royal Terrace Edinburgh, City of Edinburgh, EH75AQ",1651,"Abbey Hotel, 9, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5404
21219,"Crowne Plaza Edinburgh Royal Terrace, 18-22 Royal Terrace Edinburgh, City of Edinburgh, EH75AQ",2947,"21212, 3, Royal Terrace, Edinburgh, , United Kingdom, City of Edinburgh, EH75AH",0.5
21229,"Aaran Lodge Guest House, Milton Road East, 30 EDINBURGH, City of Edinburgh, EH152NJ",3900,"Kings Manor Hotel, 100, Milton Road East, Edinburgh, City of Edinburgh, EH152NP",0.5146
21234,"The Place Hotel, 34-38 York Place Edinburgh, City of Edinburgh, EH13HU",1541,"Hotel Indigo, 51-53-55-57-59, York Place, Edinburgh, , GB, City of Edinburgh, EH13JD",0.5636
21234,"The Place Hotel, 34-38 York Place Edinburgh, City of Edinburgh, EH13HU",1544,"28 York Place, 28, York Place, Edinburgh, , United Kingdom, City of Edinburgh, EH13EN",0.5936
21234,"The Place Hotel, 34-38 York Place Edinburgh, City of Edinburgh, EH13HU",1647,"Ballantrae Hotel, 8-10-12, York Place, Edinburgh, , GB, City of Edinburgh, EH13EP",0.5
21237,"iHOLIDAY HOTEL, 6 West Coates  Edinburgh, City of Edinburgh, EH125JG",1501,"Cumberland Hotel, 1, West Coates, Edinburgh, , GB, City of Edinburgh, EH125JQ",0.5
21237,"iHOLIDAY HOTEL, 6 West Coates  Edinburgh, City of Edinburgh, EH125JG",1502,"Roseate, 4, West Coates, Edinburgh, , GB, City of Edinburgh, EH125JQ",0.5737
21251,"ibis Styles Edinburgh Centre St Andrew Square, 19 St Andrew Square Edinburgh, City of Edinburgh, EH21AU",1880,"Gleneagles Townhouse, 38-39, St Andrew Square, Edinburgh, , United Kingdom, City of Edinburgh, EH22AD",0.5
21251,"ibis Styles Edinburgh Centre St Andrew Square, 19 St Andrew Square Edinburgh, City of Edinburgh, EH21AU",7194,"Malmaison Edinburgh City, 21-22, St Andrew Square, Edinburgh, City of Edinburgh, EH21AF",0.5973
21254,"Kingsburgh House, CORSTOPHINE ROAD, 2 EDINBURGH, City of Edinburgh, EH126HN",2144,"The Murrayfield House, 12, Corstorphine Road, Edinburgh, , United Kingdom, City of Edinburgh, EH126DY",0.5743
21262,"Park View House Hotel Guest House, 14 Hermitage Place Edinburgh, City of Edinburgh, EH68AF",1673,"Merith House Hotel, 2-3, Hermitage Place, Edinburgh, , United Kingdom, City of Edinburgh, EH68DS",0.5354
21262,"Park View House Hotel Guest House, 14 Hermitage Place Edinburgh, City of Edinburgh, EH68AF",1677,"Culane House Hotel, 9, Hermitage Place, Edinburgh, , United Kingdom, City of Edinburgh, EH68DS",0.5971
21263,"Fountain Court Apartments Morrison, 228 Morrison Street Edinburgh, City of Edinburgh, EH38EA",5141,"POINT.a, 152, Morrison Street, Edinburgh, City of Edinburgh, EH38EB",0.5
21267,"Le Monde Hotel, 16 George Street Edinburgh, City of Edinburgh, EH22PF",7438,"The InterContinental Edinburgh - The George, 19-21, George Street, Edinburgh, City of Edinburgh, EH22PB",0.5931
21541,"Premier Inn London Stansted Airport, Thremhall Avenue Stansted Airport Stansted AirportStanstedEssex, Uttlesford, East of England, CM241PY",5434,"Holiday Inn Express, Thremhall Avenue, Stansted, Uttlesford, East of England, CM241PY",0.5
21639,"Esplanade Hotel, 27-29 Marine Parade East Clacton on Sea, Tendring, East of England, CO151UU",4503,"Melrose Hotel, 53, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO156AD",0.5
21639,"Esplanade Hotel, 27-29 Marine Parade East Clacton on Sea, Tendring, East of England, CO151UU",5281,"The Ocean Hotel, 5, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0.5
21639,"Esplanade Hotel, 27-29 Marine Parade East Clacton on Sea, Tendring, East of England, CO151UU",5285,"Pacific Hotel, 7-9, Marine Parade East, Clacton-on-Sea, Tendring, East of England, CO151PS",0.5055
