indexA,addressA,indexB,addressB,score
286,"Jewel Rooms, 148 Crown Street, Aberdeen City, AB116HS",1754,"The Brentwood Hotel Oyo, 101, Crown Street, Aberdeen, , United Kingdom, Aberdeen City, AB116HH",0.5
500,"Old Aberlady Inn, West Main Street Aberlady East Lothian, EH320RF",11253,"The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE",0.5
506,"The Dowans Hotel, Aberlour Aberlour, Moray, AB389LS",9172,"Dowans Hotel, Moray, AB389LS",0.5
533,"The Wylfa, Lon Sarn Bach Abersoch, Gwynedd, LL537DY",546,"Neigwl, LâÂ¥n Sarn Bach, Abersoch, , United Kingdom, Gwynedd, LL537EE",0.5538
533,"The Wylfa, Lon Sarn Bach Abersoch, Gwynedd, LL537DY",915,"Neigwl Hotel, LâÂ¥n Sarn Bach, Abersoch, , United Kingdom, Gwynedd, LL537EE",0.5538
556,"Belmont Apartment, Gwynedd, LL537EE",546,"Neigwl, LâÂ¥n Sarn Bach, Abersoch, , United Kingdom, Gwynedd, LL537EE",0.5018
566,"Lluesta Cottage, Lon Sarn Bach, Gwynedd, LL537EB",1416,"Gosling's, LâÂ¥n Gwydryn, Abersoch, , United Kingdom, Gwynedd, LL537EB",0.5444
599,"The Cardigan Bay Guest House, 63 Marine Terrace AberystwythCeredigion, SY232BX",1133,"Marine Hotel, Marine Terrace, Aberystwyth, , United Kingdom, Ceredigion, SY232DA",0.5
608,"Richmond Hotel, The Promenade 44 45 Marine Terrace Aberystwyth, Ceredigion, SY232BX",1133,"Marine Hotel, Marine Terrace, Aberystwyth, , United Kingdom, Ceredigion, SY232DA",0.5816
608,"Richmond Hotel, The Promenade 44 45 Marine Terrace Aberystwyth, Ceredigion, SY232BX",1145,"Premier Inn, 35-37, Marine Terrace, Aberystwyth, , United Kingdom, Ceredigion, SY232BX",0.5889
612,"Gwesty Cymru Hotel & Restaurant, 19 Marine Terrace Aberystwyth Ceredigion  AberystwythCeredigion, SY232AZ",1145,"Premier Inn, 35-37, Marine Terrace, Aberystwyth, , United Kingdom, Ceredigion, SY232BX",0.5
618,"Glyn Garth Guest House, South Road (Tan-Y-Cae) Aberystwyth, Ceredigion, SY231JS",365,"Castle Hotel, Tan y Cae / South Road, Aberystwyth, , United Kingdom, Ceredigion, SY231JW",0.5945
622,"Celtic Bay Guest House, 62 Marine Terrace Aberystwyth, Ceredigion, SY232BX",1145,"Premier Inn, 35-37, Marine Terrace, Aberystwyth, , United Kingdom, Ceredigion, SY232BX",0.5215
647,"Marine Apartment, 52 Marine Terrace, Ceredigion, SY232DA",6963,"Richmond Hotel, 44-45, Marine Terrace, Ceredigion, SY232BX",0.5516
756,"Aultbea Lodges, Aultbea, Drumchork, Ross-Shire, Highland, IV222HU",7198,"Drumchork Lodge Hotel, Aultbea, Highland, IV222HU",0.5571
809,"Eaton House, Wentworth Road, 17 ALDEBURGH, East Suffolk, East of England, IP155BB",5454,"Wentworth Hotel, Wentworth Road, East Suffolk, East of England, IP155BD",0.5205
844,"The Chocolate Box Aldeburgh, 1 Brudenell Street, East Suffolk, East of England, IP155DD",872,"The Brudenell, Brudenell Street, East Suffolk, , United Kingdom, East of England, IP155BU",0.581
903,"Palombos of Balloch, 40 Balloch Road Balloch BallochWest Dunbartonshire, G838LE",2997,"Balloch House, Balloch Road, Balloch, , United Kingdom, West Dunbartonshire, G838LQ",0.5289
907,"Tullie Inn, Balloch Road Balloch BallochWest Dunbartonshire, G838SW",2997,"Balloch House, Balloch Road, Balloch, , United Kingdom, West Dunbartonshire, G838LQ",0.5
919,"Alderdale B&B, Pier Road Loch LomondLuss, Argyll and Bute, G838NY",7358,"Loch Lomond Arms Hotel, Main Road, Luss, Argyll and Bute, G838NY",0.5588
952,"Lomond Woods Holiday Park, Old Luss Road, West Dunbartonshire, G838QP",9751,"Marston's Inns, Old Luss Road",0.5554
1187,"Ravenslaw House, South Road Alnwick, Northumberland, North East, NE662NZ",5427,"The Oaks Hotel, South Road, Alnwick, Northumberland, North East, NE662PN",0.5365
1213,"Alnwick Alnwick, Property 6 Old Bond Gate Gallery, Northumberland, North East, NE661SX",5347,"The White Swan Hotel, 16, Bondgate Within, Alnwick, Northumberland, North East, NE661TD",0.5
1216,"Bolam Alnwick, Property 1 Old Bond Gate Gallery, Northumberland, North East, NE661SX",5347,"The White Swan Hotel, 16, Bondgate Within, Alnwick, Northumberland, North East, NE661TD",0.5
