orig_indexA,orig_indexB,addressA,addressB,score
867,5455,"14 Market Cross Place, East Suffolk, East of England, IP155BJ","White Lion Hotel, Market Cross Place, East Suffolk, East of England, IP155BJ",0.9
867,5455,"14 Market Cross Place, East Suffolk, East of England, IP155BJ","White Lion Hotel, Market Cross Place, East Suffolk, East of England, IP155BJ",0.9
1068,3253,"The Windmill Family & Commercial Hotel, 10 Market Place ALFORD, East Lindsey, East Midlands, LN139EB","Windmill Hotel & Nayeemas, 10, Market Place, Alford, , GB, East Lindsey, East Midlands, LN139EB",1.0
1177,6459,"The Hog's Head Inn, Hawfinch Drive Alnwick, Northumberland, North East, NE662BF","Hogshead Inn, Hawfinch Drive, Alnwick, Northumberland, North East, NE662BF",0.9
1192,6987,"The Cottage Inn, The Village Dunstan, Northumberland, North East, NE663SZ","The Cottage Inn, Dunstan, Northumberland, North East, NE663SZ",0.9
1318,7753,"The Market Hotel, 3 Market Square Alton, East Hampshire, South East, GU341HD","Market Hotel, 3, Market Square, Alton, , GB, East Hampshire, South East, GU341HD",0.9983
1771,3007,"The Royal Hotel, 20 Rogers Street Anstruther, Fife, KY103DU","The Royal Hotel, 20, Rodger Street, Anstruther, , United Kingdom, Fife, KY103DU",0.9769
1772,3006,"The Coastal Inn, 14 John Street Cellardyke, Fife, KY103BB","The Coastal Inn, 14, John Street, Cellardyke, , United Kingdom, Fife, KY103BB",1.0
2041,10665,"Premier Inn Ascot, London Road Ascot Ascot  United Kingdom AscotBerkshire, Bracknell Forest, South East, SL58DR","The Royal Foresters Hotel, London Road, Ascot, Bracknell Forest, South East, SL58DR",0.9
2044,10665,"The Royal Foresters, London Road Ascot, Bracknell Forest, South East, SL58DR","The Royal Foresters Hotel, London Road, Ascot, Bracknell Forest, South East, SL58DR",0.9
2051,6124,"Travelodge Ashbourne, Carnation Way Ashbourne, Derbyshire Dales, East Midlands, DE61AY","Travelodge Ashbourne, Carnation Way, Ashbourne, Derbyshire Dales, East Midlands, DE61AY",0.9
2176,8419,"The Pilgrims Hotel, 18 The Friars Canterbury, South East, CT12AS","The Pilgrims Hotel, 18, The Friars, Canterbury, Kent, , GB, South East, CT12AS",1.0
2187,1776,"Abbot s Fireside, High Street Elham ElhamCanterburyKent, Folkestone and Hythe, South East, CT46TD","Abbot's Fireside Hotel, High Street, Elham, , United Kingdom, Folkestone and Hythe, South East, CT46TD",0.9
2212,354,"The George Hotel, 68 High St Ashford, South East, TN248TB","The George Hotel, 68, High Street, Ashford, , United Kingdom, South East, TN248TB",0.9333
2287,6568,"Hampton by Hilton Canterbury, 7 St. Margarets Street, Canterbury, , United Kingdom, South East, CT12TP","Hampton by Hilton Canterbury, 7, St. Margaret's Street, Canterbury, Kent, , GB, South East, CT12TP",0.9923
2290,6713,"Ebury Cottages and Apartments, 65 67 New Dover Road, Canterbury, South East, CT13DX","Canterbury Hotel, 65-67, New Dover Road, Canterbury, Kent, , GB, South East, CT13DX",1.0
2529,246,"Station Hotel, Bridge Street  Avoch, Highland, IV98PP","Station Hotel, Bridge Street, Avoch, , United Kingdom, Highland, IV98PP",0.9
2619,7783,"Hotel Kylestrome Bar & Grill, 11 Miller Road AyrSouth Ayrshire, KA72AX","Hotel Kylestrome Bar & Grill, 11, Miller Road, Ayr, South Ayrshire, KA72AX",0.9
2850,10526,"The Jester Hotel, 116 Station Road OdseyBaldock Herts, South Cambridgeshire, East of England, SG75RS","The Jester, 116, Station Road, Baldock, South Cambridgeshire, East of England, SG75RS",0.9
3003,1339,"Millbrook Lodge Hotel, 5 Drumaness Road BallynahinchDown Northern Ireland, Newry, Mourne and Down, BT248LS","Millbrook Lodge Hotel, 5, Drumaness Road, Ballynahinch, Down, , United Kingdom, Newry, Mourne and Down, BT248LS",0.9
3011,6647,"Haigs Hotel, 273 Kenilworth Road Balsall Common Balsall Common Coventry, Solihull, West Midlands, CV77EL","Haigs Hotel, 273, Kenilworth Road, Balsall Common, Solihull, West Midlands, CV77EL",0.9
3065,6765,"Banbury M40, J11 hotel, Stroud Park Ermont Way  Banbury, Cherwell, South East, OX164AE","Premier Inn, Ermont Way, Banbury, Cherwell, South East, OX164AE",0.9
3319,5508,"Savoro Restaurant With Rooms, 206 High Street Hadley GreenBarnet, London, EN55SZ","Savoro, 206, High Street, High Barnet, London, EN55SZ",1.0
3449,7581,"Holiday Inn Express - Barrow-in-Furness, Market Street, Barrow in Furness, LA142LE","Holiday Inn Express, Market Street, Barrow-in-Furness, LA142LE",0.9
3544,2082,"Springfield House, 14 Chequers Road Basingstoke, Basingstoke and Deane, South East, RG217PU","Springfield Motel, 14, Chequers Road, Basingstoke, , United Kingdom, Basingstoke and Deane, South East, RG217PU",1.0
3616,4008,"Hilton Bath City, Walcot Street Bath, Bath and North East Somerset, South West, BA15BJ","DoubleTree by Hilton Bath, Walcot Street, Bath, Bath and North East Somerset, South West, BA15BJ",0.9
3627,2008,"The Edgar Townhouse, 64 Great Pulteney Street BathSomerset, Bath and North East Somerset, South West, BA24DN","The Edgar Town House, 64, Great Pulteney Street, Bath, , United Kingdom, Bath and North East Somerset, South West, BA24DN",0.9
