orig_index,text
9664,"Bron Orme Hotel, 54, Church Walks, Llandudno, , GB, Conwy, LL302HL"
11255,"The Darlington Hyde Park, 111-117, Sussex Gardens, London"
7450,"Bennetts, 20-22, Derby Road, Nottingham, Erewash, East Midlands, NG101LW"
7539,"The Belgrave, 80-86, Belgrave Road, London, Westminster, SW1V2BJ"
4990,"The Waterside, 19, Ness Bank, Inverness, Highland, IV24SF"
6029,"The Soho Hotel, 4, Richmond Mews, London, Westminster, W1D3DH"
6963,"Richmond Hotel, 44-45, Marine Terrace, Ceredigion, SY232BX"
8336,"Hotel Express, Cuthbert Street, Gateshead, North East, NE81AF"
4914,"The Victoria Inn London, 65-67, Belgrave Road, London, Westminster, SW1V2BG"
8358,"Beamish Park Hotel, Beamishburn Road, Gateshead, Tyne And Wear, County Durham, North East, NE165EG"
7291,"Grand Hotel, North Parade, Llandudno, , GB, Conwy, LL302LR"
11253,"The Leddie Hotel & Restaurant, West Main Street, Aberlady, East Lothian, EH320RE"
2872,"Swn Y Mor Hotel, 5, Nevill Crescent, Llandudno, , GB, Conwy, LL301AT"
6522,"Travelodge, 1, Lumina Way, Enfield, London, EN11FS"
5736,"Premier Inn, Derwenthaugh Road, Gateshead, North East, NE163BL"
1833,"The Baytree Hotel, 6-9, North Parade, Llandudno, , GB, Conwy, LL302LP"
11337,"Park Plaza Riverbank, 18, Albert Embankment, London, Lambeth, SE17TJ"
8807,"Roseview Hotel, 2, Queen's Avenue, London, Haringey, N103NR"
3985,"Norton House Hotel, Newbridge, City of Edinburgh, EH288LX"
4214,"Derby Station Hotel, 21, Midland Road, Derby, East Midlands, DE12SL"
9854,"K Hotel Kensington, 131-137, Cromwell Road"
10528,"Leapark Hotel, 130, Bo'ness Road, Grangemouth, Falkirk, FK39BX"
4081,"The Castleton Hotel, 164-166, Sussex Gardens, London"
10903,"Homestay, 2, Bulstrode Road, Hounslow, London, TW33AT"
7298,"Elm Tree Hotel, 24, North Parade, Llandudno, , GB, Conwy, LL302LP"
7194,"Malmaison Edinburgh City, 21-22, St Andrew Square, Edinburgh, City of Edinburgh, EH21AF"
5383,"Royal Pavillion Townhouse, 12, Regency Square"
6316,"Glenfinnan House Hotel, Glenfinnan, Highland, PH374LT"
8448,"Radisson RED, Lime Street, Liverpool"
5079,"Crowne Plaza, Holliday Street, Birmingham, West Midlands, B11HH"
7635,"Grampian Hotel, 37-39, York Place, Perth, Perth and Kinross, PH28EH"
10275,"Euro Hotel, 31, Shepherds Bush Road, London, , GB, Hammersmith and Fulham, W67LX"
4722,"Castle Hotel, Castle Street, Merthyr Tydfil, CF478BG"
6877,"Seaham Hall Hotel, Lord Byron's Walk, Seaham, County Durham, North East, SR77AG"
6885,"Mansfield House Hotel, Weensland Road, Scottish Borders, TD98LB"
8072,"Ffynnon Boutique Accomodation, Bryn Teg, Gwynedd, LL401RR"
9582,"Hyde Park Radnor Hotel, 7-9, Sussex Place, London, Westminster, W22SX"
10140,"The Storehouse, Bridge Street Wynd, Kirkwall, Orkney Islands, KW151JD"
3946,"St Martins Lane Hotel, 45, St. Martin's Lane, London, Westminster, WC2N4HX"
3821,"Novotel, 70, Broad Street, Birmingham, West Midlands, B12HT"
7413,"Mitre Hotel, Hampton Court Road, Richmond upon Thames, London, KT89BN"
4018,"Premier Inn, Kenpas Highway, Coventry, West Midlands, CV36PB"
5508,"Savoro, 206, High Street, High Barnet, London, EN55SZ"
4784,"Premier Inn, Cramlington, Northumberland, North East, NE237QA"
4070,"Classic Hyde Park Hotel, 109, Sussex Gardens"
9292,"Craig-Ard Hotel, 3, Arvon Avenue, Llandudno, , GB, Conwy, LL302DY"
9289,"Chelsea Hotel, 67, Church Walks, Llandudno, , GB, Conwy, LL302HG"
9406,"Brisbane House, 14-16, Greenock Road, Largs, North Ayrshire, KA308NE"
3812,"St Pancras Renaissance London Hotel, Euston Road, London, Camden, NW12AR"
7064,"The Original Rosslyn Inn, Main Street, Midlothian, EH259LE"
10564,"Newark Lodge Guest House, 5, Bullpit Road, Newark, Newark and Sherwood, East Midlands, NG243PT"
736,"The Slate, Tal Y Bont, Bangor, , GB, Gwynedd, LL573UR"
7254,"Ibis Budget Edinburgh Park, 6, Lochside View, Edinburgh, City of Edinburgh, EH129DH"
11303,"Novotel London West, 1, Shortlands, London, Hammersmith and Fulham, W68DR"
10645,"Harbour House Hotel, 53, Main Street, Portpatrick, Dumfries and Galloway, DG98JW"
3011,"The Standard, London, 10, Argyle Street, London, , GB, Camden, WC1H8EG"
6013,"Stage Hotel, 1-5, Gregory Boulevard, Nottingham, East Midlands, NG76LB"
9611,"Central Park Hotel, 49-67, Queensborough Terrace"
11274,"The Beaufort Hotel, 33, Beaufort Gardens"
7279,"The Park Hotel, 19, Park Road, Teddington, Richmond upon Thames, London, TW110AB"
7898,"Marine Hotel, 19, High Street, Invergordon, Highland, IV180EZ"
6427,"Mermaid Hotel, 3-4, Blenheim Street, London, GB"
9562,"Hyde Park Talbot Square, 18, Talbot Square"
4802,"Tadross Hotel, 271, Holton Road, Vale of Glamorgan, CF634HT"
4559,"Columbia Hotel, 95-99, Lancaster Gate, London"
2904,"The View, 26, North Parade, Llandudno, , GB, Conwy, LL302LP"
10445,"Ferryhill House Hotel, 169, Bon-Accord Street, Aberdeen, Aberdeen City, AB116UA"
320,"DoubleTree by Hilton Hotel London - West End, 92, Southampton Row, London, , GB, Camden, WC1B4BH"
9232,"Skene House Apartments Holburn, 6, Union Grove, Aberdeen, Aberdeen City, AB106SY"
6948,"Premier Inn, 68, Station Road, Solihull, , GB, West Midlands, B913RX"
780,"The Buckingham, 39, Bedford Place, London, , GB, Camden, WC1B5JU"
4059,"Alexandra Hotel, 159-161, Sussex Gardens, London, Westminster, W22RY"
3999,"May Fair Hotel, Stratton Street, London, Westminster, W1J8LT"
5700,"Premier Inn Battersea, 638, Wandsworth Road, London, Lambeth, SW83JW"
4964,"Premier Inn, Shepiston Lane, Hayes, Hillingdon, London, UB31RW"
6817,"The Premier Notting Hill, 5-7, Prince's Square, London, Westminster, W24NP"
10258,"New Century Inn, 112, Shepherds Bush Road, London, GB"
8285,"Novotel London Tower Bridge, 10, Pepys Street, London, City of London, EC3N2NR"
9574,"Royal George Hotel, Tay Street, Perth, Perth and Kinross, PH15LD"
11279,"Canal Court Hotel, 34, Merchants Quay, Newry, Down, Newry, Mourne and Down, BT358HF"
8879,"The Z Hotel Victoria, 5, Lower Belgrave Street, London, Westminster, SW1W0NR"
4752,"The Bryson Hotel, 124-132, Clerkenwell Road, London, Camden, EC1R5DL"
4515,"Cobden Hotel, 166-174, Hagley Road, Birmingham, , GB, West Midlands, B169NZ"
9621,"The Dome Hyde Park, 21, Inverness Terrace"
10590,"Travelodge London Bromley, 37, London Road, Bromley, BR11DG"
8868,"Eccleston Square Hotel, 37, Eccleston Square, London, Westminster, SW1V1PB"
3266,"Hillpark Hotel, 10, Heath Road, Rosyth, , GB, Fife, KY112BT"
9432,"Druidstone Hotel, Welsh Road, HAVERFORDWEST, Pembrokeshire, SA623NE"
9649,"Pembridge Palace Hotel, 55, Prince's Square"
3998,"1 Hotel Mayfair, 3, Berkeley Street, London, Westminster, W1J8DL"
9760,"Aloft, Gough Burn Crescent, Aberdeen, Aberdeen City, AB219FY"
5633,"Hylands Hotel, 153, Warwick Road, Coventry, West Midlands, CV36AU"
5306,"Norfolk Hotel, 259-267, Hagley Road, Birmingham, , GB, West Midlands, B169NA"
9139,"Borve Country House Hotel, Isle of Lewis, , GB, Na h-Eileanan Siar, HS20RX"
4563,"Garden View Hotel, 29-31, Nevern Square"
4954,"The Wesley, 81-103, Euston Street, London, Camden, NW12EZ"
4980,"Hotel Ibis London Earls Court, 47, Lillie Road, London, Hammersmith and Fulham, SW61UD"
8005,"Clayton Hotel, 10, New Drum Street, London, Tower Hamlets, E17AT"
10173,"Travelodge, Princess Way, Swansea, SA13LQ"
3874,"Campanile Hotel, 10, Tunnel Street, Glasgow, Glasgow City, G38HL"
8681,"Malmaison, 18-21, Charterhouse Square, London, Islington, EC1M6AH"
7788,"The Berkeley, 1, Barns Street, Ayr, South Ayrshire, KA71XB"
7826,"Novotel London Canary Wharf, 40, Marsh Wall, London, Tower Hamlets, E149TP"
10770,"The Chester Hotel, 55-63, Queen's Road, Aberdeen, Aberdeen City, AB154YP"
4441,"Ibis (Rooms), 55, Irving Street, Birmingham, West Midlands, B11DH"
9724,"Hampton by Hilton Hamilton Park, Bothwell Road, Hamilton, South Lanarkshire, ML30DW"
2045,"Sheraton Hotel, 1, Festival Square, Edinburgh, , GB, City of Edinburgh, EH39SR"
4049,"Gower House Hotel, 57, Gower Street, London, Camden, WC1E6HJ"
8713,"Moxy London Stratford, 86, Great Eastern Road, London, Newham, E151GR"
9369,"Premier Inn, Uxbridge Road, Hayes, Hillingdon, London, UB40HF"
8197,"Fitzroy Hotel, 41, Fitzroy Street, London"
7109,"St Pierre Country Club, Chepstow, Monmouthshire, NP166YA"
10145,"Rose and Crown, Heol y Capel, Bridgend, CF363ST"
8379,"Dene House, 36-42, Grosvenor Road, Newcastle upon Tyne, North East, NE22RP"
9155,"Kensington Court Hotel Notting Hill, 4, Prince's Square, London, , GB, Westminster, W24NP"
8426,"Anvil View Guest House, Gretna Green, Dumfries and Galloway, DG165EA"
3897,"The Paragon Hotel, 145, Alcester Street, Birmingham, West Midlands, B120PJ"
10691,"City Best Hotel, 31-37, Mansfield Road, Ilford, Redbridge, London, IG13BB"
9590,"Mina House Hotel, 21-23, Craven Road"
4071,"Seymour Hotel, 106, Sussex Gardens, London, Westminster, W21UH"
9723,"Devonshire Hotel, 94, Station Lane, Hornchurch, Havering, London, RM126LX"
6820,"The Cardiff Hotel, 5-9, Norfolk Square"
3308,"Balmoral Inn, Craigard Road, Oban, , GB, Argyll and Bute, PA345NP"
7297,"The Wildings Hotel, 14, North Parade, Llandudno, , GB, Conwy, LL302LP"
11358,"Premier Inn, Llandafen Road, Llanelli, Carmarthenshire, SA149BD"
6840,"Stanley House, 19-21, Belgrave Road, London, Westminster, SW1V1RB"
9047,"Holiday Inn Bristol Filton, Filton Road, Bristol, South Gloucestershire, , GB, South West, BS161QX"
9576,"Parkwood Hotel, 4, Stanhope Place"
9332,"Blandford Hotel, 80, Chiltern Street"
6430,"Crown Court Hotel, 25, Southside Road, Inverness, Highland, IV23BG"
1419,"Carradale Hotel, B879, Carradale, , GB, Argyll and Bute, PA286RY"
10009,"DoubleTree by Hilton Kingston Upon Thames, 1, Skerne Road, Kingston upon Thames, London, KT25FJ"
11266,"Slaley Hall, Slaley, Northumberland, North East, NE470BX"
9479,"Old Manor Hotel, 55, Leven Road, Lundin Links, Fife, KY86AJ"
4101,"Rhodes Hotel, 195, Sussex Gardens, London"
1501,"Cumberland Hotel, 1, West Coates, Edinburgh, , GB, City of Edinburgh, EH125JQ"
9880,"The Exhibitionist Hotel, 8-10, Queensberry Place"
10269,"Ibis Shepherd's Bush, 3-5, Rockley Road, London, Hammersmith and Fulham, W140DJ"
7137,"City Continental Kensington London, 11-13, Penywern Road, London"
4868,"Royal Lancaster, Lancaster Terrace, London, Westminster, W22TY"
6658,"Strawberry Bank Hotel & Restaurant, 72, Main Road, Meriden, , GB, Solihull, West Midlands, CV77NF"
9468,"Marlborough Hotel, South Parade, Llandudno, , GB, Conwy, LL302LN"
628,"Apex Edinburgh International, 31-33-35, Grassmarket, Edinburgh, , GB, City of Edinburgh, EH12HS"
9620,"Grand Royale London Hyde Park Hotel, 1-9, Inverness Terrace, London"
3856,"St. David's Hotel, Havannah Street, Cardiff, , GB, CF105SD"
6461,"George Washington Hotel Golf and Spa, Stone Cellar Road, Newcastle, Sunderland, North East, NE371PH"
3857,"Novotel Edinburgh Park, 15, Lochside Avenue, Edinburgh, City of Edinburgh, EH129DJ"
5484,"Staybridge Suites, Buxton Street, Newcastle upon Tyne, , GB, North East, NE16NL"
4673,"Duke of Leinster Hotel, 20, Leinster Gardens"
4946,"Ventures Hotel, 12-20, Sussex Gardens, London"
8837,"Romanos Hotel, 31, Charlwood Street, London, Westminster, SW1V2DU"
4626,"Friendship House, 3, Belvedere Place, London, Southwark, SE10AD"
11298,"Hotel 65, 65, Shepherds Bush Road, London, GB"
5052,"Premier Inn, Caerphilly, CF833NL"
8536,"The Clarendon, 8-16, Montpelier Row, London, Lewisham, SE30RW"
9940,"Premier Inn, Chertsey Road, Twickenham, Richmond upon Thames, London, TW26LS"
7481,"Bamburgh Castle Inn, Harbour Road, Seahouses, Northumberland, North East, NE687SQ"
4218,"St John's Hotel, 651, Warwick Road, Solihull, , GB, West Midlands, B911AT"
9303,"Malone Lodge Hotel Belfast, 60, Eglantine Avenue, Belfast"
7156,"Grand Hotel Gosforth Park Newcastle, Newcastle upon Tyne, , GB, North East, NE35HN"
8273,"The Orange Tree, 45, Kew Road, Richmond, Richmond upon Thames, London, TW92NQ"
6567,"The Grazing Goat, 6, New Quebec Street, London, Westminster, W1H7RQ"
7425,"Pont y Pair Inn, Holyhead Road, Betws y Coed, , GB, Conwy, LL240BN"
5438,"DoubleTree by Hilton Hotel London - Tower of London, 7, Pepys Street, London, City of London, EC3N4AF"
11167,"Leonardo Hotel East Midlands Airport, Beverley Road, Derby, North West Leicestershire, DE742SH"
8248,"Caer Rhun Hall, Conwy, , GB, LL328HX"
7783,"Hotel Kylestrome Bar & Grill, 11, Miller Road, Ayr, South Ayrshire, KA72AX"
9094,"Busta House, Shetland, , GB, Shetland Islands, ZE29QN"
3899,"Premier Inn, 91, Newcraighall Road, Edinburgh, City of Edinburgh, EH218RX"
5308,"Edgbaston Palace Hotel, 196, Hagley Road, Birmingham, West Midlands, B169PQ"
10687,"Best Inn Hotel, 10, Argyle Road, Ilford, Redbridge, London, IG13BQ"
6823,"Norfolk Towers Hotel, 34, Norfolk Place, London, , GB, Westminster, W21QW"
8267,"Makeney Hall Hotel, Makeney Road, Belper, Amber Valley, East Midlands, DE560RS"
7285,"St Tudno, 14, North Parade, Llandudno, , GB, Conwy, LL302LP"
4477,"Travelodge, Durham, County Durham, North East, DH11LJ"
8076,"Pitlochry Hydro Hotel, Knockard Road, Pitlochry, Perth and Kinross, PH165JH"
9298,"Middleton Hall, Middleton, Northumberland, North East, NE707LF"
8583,"Ibis Budget, Ambassador Road, Birmingham, Solihull, West Midlands, B263AW"
5469,"Premier Inn, Loughborough Road, Nottingham, , GB, Rushcliffe, East Midlands, NG116LS"
6900,"Premier Inn, 6, Lansdowne Road, Croydon, London, CR02BX"
4082,"Stylotel, 160-162, Sussex Gardens, London"
9534,"Premier Inn Aviemore, Grampian Road, Aviemore, Highland, PH221PX"
5778,"Gretna Hall Hotel, Gretna Green, Dumfries and Galloway, DG165DY"
