orig_indexA,orig_indexB,addressA,addressB,score
1067,3254,"Half Moon Hotel And Restaurant, 25 28 West Street AlfordLincolnshire, East Lindsey, East Midlands, LN139DG","The Half Moon Hotel & Restaurant, 25-28, West Street, Alford, , GB, East Lindsey, East Midlands, LN139DG",0.8401
1123,5509,"Best Western Plus Windmill Village Hotel, Birmingham Road Allesley Allesley Coventry, West Midlands, CV59AL","Windmill Village Hotel, Birmingham Road, Coventry, West Midlands, CV59AL",0.8557
1136,5407,"Nether Grange, Marine Road Alnmouth Alnmouth Alnwick, Northumberland, North East, NE662RZ","HF Holidays Nether Grange, Pease's Lane, Alnwick, , GB, Northumberland, North East, NE662RZ",0.8
1155,5347,"White Swan Hotel, Bondgate Within Alnwick Northumberland, North East, NE661TD","The White Swan Hotel, 16, Bondgate Within, Alnwick, Northumberland, North East, NE661TD",0.8685
1166,5407,"Nether Grange, Marine Road Alnmouth Alnmouth Alnwick, Northumberland, North East, NE662RZ","HF Holidays Nether Grange, Pease's Lane, Alnwick, , GB, Northumberland, North East, NE662RZ",0.8
1316,11361,"Travelodge Alton Four Marks, A31 156 Winchester Road Four Marks Four MarksAltonHampshire, East Hampshire, South East, GU345HZ","Travelodge, 156, Winchester Road, Alton, East Hampshire, South East, GU345HZ",0.8
1319,8656,"The Crown Hotel, High Street AltonHampshire, East Hampshire, South East, GU341BN","The Crown Hotel, High Street, Alton, , GB, East Hampshire, South East, GU341BN",0.8
1723,11027,"Best Western Andover Hotel, Micheldever Road AndoverHampshire, Test Valley, South East, SP116LA","Best Western Andover Hotel, Micheldever Road, Andover, Test Valley, South East, SP116LA",0.8
1724,3781,"The Star And Garter A Citylodge Hotel, High Street, 2 ANDOVER, Test Valley, South East, SP101PB","Star and Garter Hotel, 2, High Street, Andover, , United Kingdom, Test Valley, South East, SP101PB",0.875
1725,7801,"Esseborne Manor, Hurstbourne Tarrant AndoverHampshire, Test Valley, South East, SP110ER","Esseborne Manor Hotel, Andover, Test Valley, South East, SP110ER",0.8
1767,9444,"Balcomie Links Hotel, Balcomie Road Crail CrailFife Scotland, KY103TN","Balcomie Links Hotel, Balcomie Road, Crail, Fife, KY103TN",0.8
1868,8330,"The Pierhouse Hotel, Port Appin Argyll, Argyll and Bute, PA384DE","The Pierhouse, Argyll and Bute, PA384DE",0.8
1946,901,"Grey Gull Inn, Glenburn Road Ardrishaig Argyll, Argyll and Bute, PA308EU","The Grey Gull Hotel, Glenburn Road, Ardrishaig, , United Kingdom, Argyll and Bute, PA308EU",0.8966
2056,8326,"Callow Hall, Mappleton Rd, Ashbourne, Derbyshire ASHBOURNE, Derbyshire Dales, East Midlands, DE62AA","Callow Hall, Mapleton Road, Ashbourne, Derbyshire Dales, East Midlands, DE62AA",0.864
2063,658,"The Boars Head Hotel, Station Road Draycott In The Clay Draycott-in-the-clay Draycott in the Clay Ashbourne, East Staffordshire, West Midlands, DE65GX","Boars Head Hotel, Station Road, Ashbourne, , United Kingdom, East Staffordshire, West Midlands, DE65GX",0.8
2089,5168,"Newton House Apartment, Newton House Buxton Road Newton Grange, Derbyshire Dales, East Midlands, DE61NJ","Newton House, Buxton Road, Ashbourne, , GB, Derbyshire Dales, East Midlands, DE61NJ",0.8
2133,42,"Travelodge Canterbury Chaucer Central, IVY LANE CANTERBURY KENT, 63 CANTERBURY, South East, CT11TU","Travelodge Chaucer Central, 63, Ivy Lane, Canterbury, Kent, , GB, South East, CT11TU",0.8
2134,39,"The Bow Window Inn, HIGH STREET, 50 CANTERBURY, South East, CT31ST","Bay Window Hotel and Restaurant, High Street, Canterbury, , United Kingdom, South East, CT31ST",0.864
2146,5503,"Holiday Inn Express Canterbury, Upper Harbledown Canterbury, South East, CT29HX","Canterbury Holiday Inn Express, Canterbury, South East, CT29HX",0.8929
2402,9407,"Sherbourne House, 8 Norwich Road AttleboroughNorfolk, Breckland, East of England, NR172JX","Sherbourne House Hotel, 8, Norwich Road, Breckland, East of England, NR172JX",0.8636
2454,11129,"Coylumbridge Hotel, Coylumbridge Aviemore, Highland, PH221QN","Coylumbridge Aviemore Hotel, Coylumbridge, Aviemore, Highland, PH221QN",0.8
2609,7779,"Mercure Ayr Hotel, Dalblair Rd Ayr, South Ayrshire, KA71UG","Mercure Ayr, Dalblair Road, Ayr, South Ayrshire, KA71UG",0.875
2628,7774,"Travelodge Ayr, Highfield Drive Ayr, South Ayrshire, KA89SH","Travelodge, Highfield Drive, Ayr, South Ayrshire, KA89SH",0.8628
2630,1088,"Chalmers Guest House, 34 CARRICK ROAD AYR, South Ayrshire, KA72RB","Carrick Lodge, 46, Carrick Road, Ayr, , United Kingdom, South Ayrshire, KA72RB",0.8363
2638,1083,"The Ayrshire and Galloway, 1 Killoch Place AyrAyrshire, South Ayrshire, KA72EA","Ayrshire & Galloway Hotel, 1, Killoch Place, Ayr, , United Kingdom, South Ayrshire, KA72EA",0.8053
2736,4996,"The Monsal Head Hotel, Monsal Head BakewellDerbyshire, Derbyshire Dales, East Midlands, DE451NL","Monsal Head Hotel, Bakewell, Derbyshire Dales, East Midlands, DE451NL",0.8
3022,1545,"The Romany Inn, Bridge Street BAMPTON, West Oxfordshire, South East, OX182HA","Fleur De Lys, Bridge Street, Bampton, , United Kingdom, West Oxfordshire, South East, OX182HA",0.8
3120,4805,"Banff Springs Hotel, Golden Knowes Road Banff Scotland, Aberdeenshire, AB452JE","Banff Springs Hotel, Golden Knowes Road, Aberdeenshire, , GB, AB452JE",0.8
3126,9948,"The Boyne Hotel, 2 North High Street Portsoy, Aberdeenshire, AB452PA","The Boyne Hotel, 2, North High Street, Aberdeenshire, AB452PA",0.8125
3164,3731,"30seacliff, 30 Seacliff Road Bangor, Ards and North Down, BT205EY","The Nines, 10-12, Seacliff Road, Bangor, Down, , United Kingdom, Ards and North Down, BT205EY",0.8945
3329,11200,"Barnham Broom Hotel Golf & Spa, Honingham Road Barnham Broom Barnham Broom NorwichNorfolk, South Norfolk, East of England, NR94DD","Barnham Broom Hotel & Country Club, Honingham Road, Norwich, , GB, South Norfolk, East of England, NR94DD",0.8452
3351,9058,"The Hunters Inn, Heddon Valley Parracombe ExmoorNorth Devon, South West, EX314PY","Hunter's Inn, Barnstaple, North Devon, South West, EX314PY",0.8
3468,4802,"Tadross Hotel, 271 Holton Rd Barry, Vale of Glamorgan, CF634HT","Tadross Hotel, 271, Holton Road, Vale of Glamorgan, CF634HT",0.87
3588,7899,"Abbey Hotel Bw Signature Collection By Best Western, North Parade BathSomerset, Bath and North East Somerset, South West, BA11LF","The Abbey Hotel, 1, North Parade Buildings, Bath and North East Somerset, South West, BA11LF",0.8
3596,9337,"Henrietta House, 33 Henrietta Street Bath, Bath and North East Somerset, South West, BA26LR","Henrietta House, 27-29, Henrietta Street, , GB, Bath and North East Somerset, South West, BA26LR",0.8
3649,6307,"The Old Mill Hotel, Toll Bridge Road Batheaston BatheastonBath, Bath and North East Somerset, South West, BA17DE","The Old Mill Hotel, Toll Bridge Road, Bath and North East Somerset, South West, BA17DE",0.8
3665,8265,"The Halcyon, SOUTH PARADE, 2-3 BATH, Bath and North East Somerset, South West, BA24AA","Hotel Indigo, 2-8, South Parade, Bath, , GB, Bath and North East Somerset, South West, BA24AA",0.8571
3699,4043,"Number 17 Bath, 17 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ","The Bird Hotel, 18-19, Pulteney Road, Bath and North East Somerset, South West, BA24EZ",0.8
